Date,Time,Frequency (Hz),Gate
2026-04-15,20:49:51.433,1000,1s
2026-04-15,20:49:51.464,1000,1s
2026-04-15,20:49:51.528,1000,1s
2026-04-15,20:49:51.560,1000,1s
2026-04-15,20:49:51.624,1000,1s
2026-04-15,20:49:51.656,1000,1s
2026-04-15,20:49:51.720,1000,1s
2026-04-15,20:49:51.752,1000,1s
2026-04-15,20:49:51.816,1000,1s
2026-04-15,20:49:51.880,1000,1s
2026-04-15,20:49:51.912,1000,1s
2026-04-15,20:49:51.976,1000,1s
2026-04-15,20:49:52.008,1000,1s
2026-04-15,20:49:52.072,1000,1s
2026-04-15,20:49:52.104,1000,1s
2026-04-15,20:49:52.168,1000,1s
2026-04-15,20:49:52.232,1000,1s
2026-04-15,20:49:52.264,1000,1s
2026-04-15,20:49:52.328,1000,1s
