Date,Time,Frequency (Hz),Gate
2026-04-15,20:53:17.973,1000,1s
2026-04-15,20:53:18.005,1000,1s
2026-04-15,20:53:18.069,1000,1s
2026-04-15,20:53:18.101,1000,1s
2026-04-15,20:53:18.165,1000,1s
2026-04-15,20:53:18.197,1000,1s
2026-04-15,20:53:18.261,1000,1s
2026-04-15,20:53:18.293,1000,1s
2026-04-15,20:53:18.357,1000,1s
2026-04-15,20:53:18.421,1000,1s
2026-04-15,20:53:18.453,1000,1s
2026-04-15,20:53:18.517,1000,1s
2026-04-15,20:53:18.549,1000,1s
2026-04-15,20:53:18.613,1000,1s
2026-04-15,20:53:18.645,1000,1s
2026-04-15,20:53:18.709,1000,1s
2026-04-15,20:53:18.773,1000,1s
2026-04-15,20:53:18.805,1000,1s
2026-04-15,20:53:18.869,1000,1s
